Brand,Model,City - Cold Weather (km),City - Mild Weather (km),Highway - Cold Weather (km),Highway - Mild Weather (km),Useable Battery(Wh),Combined - Cold Weather(Wh/km),Combined -Mild Weather(Wh/km),Acceleration(0-100km/h),Battery Type,Drive,Electric Range(km),Total Power(kw),Total Torque(Nm),Efficiency(Wh/km),Towing Weight(kg),Gross Vehicle Weight(kg),Weight Unladen(EU),Number of seats
Mercedes,EQA 250,350,515,250,320,66500,222,164,8.6,Lithium-ion,Front,355,140,385,187.3239437,750,2470,2040,5
Mercedes,EQA 300 4MATIC,345,510,250,320,66500,225,166,7.7,Lithium-ion,AWD,350,168,390,190,1800,2535,2105,5
Citroen ,e-C4,265,400,190,245,45000,200,146,9.7,Lithium-ion,Front,265,100,260,169.8113208,0,2020,1636,5
Citroen ,e-Berlingo M 50 kWh,215,305,140,175,45000,257,200,11.7,Lithium-ion,Front,200,100,260,225,750,2290,1739,5
Citroen ,e-Jumpy Combi M 50 kWh,190,270,125,155,45000,290,225,12.1,Lithium-ion,Front,180,100,260,250,1000,3015,1969,9
CUPRA,Born 170 kW - 77 kWh,435,655,320,415,77000,205,150,7,Lithium-ion,Rear,450,170,310,171.1111111,0,2300,1946,4
Mercedes,EQE 350+,500,745,385,500,90600,206,150,6.4,Lithium-ion,Rear,525,215,565,172.5714286,750,2880,2355,5
Mercedes,EQS 450+,595,895,470,615,107800,201,146,6.2,Lithium-ion,Rear,640,245,568,168.4375,750,2945,2480,5
Kia,EV6 GT,365,535,265,335,74000,235,176,3.5,Lithium-ion,AWD,370,430,740,200,1800,2610,2200,5
Renault Megane,E-Tech EV60 220hp,350,535,255,330,60000,200,145,7.4,Lithium-ion,Front,360,160,300,166.6666667,900,2158,1711,5
Mercedes,EQS AMG 53 4MATIC+,535,785,415,530,107800,227,167,3.4,Lithium-ion,AWD,565,560,1020,190.7964602,750,3225,2655,5
Nissan,Ariya 87kWh,450,655,315,400,87000,232,172,7.6,Lithium-ion,Front,445,178,300,195.505618,750,NaN,2000,5
Mercedes,EQC 400 4MATIC,370,530,270,340,80000,254,190,5.1,Lithium-ion,AWD,370,300,760,216.2162162,1800,2940,2495,5
Mercedes,EQB 350 4MATIC,330,485,240,305,66500,238,177,6.2,Lithium-ion,AWD,330,215,520,201.5151515,0,2580,2175,7
Volvo,XC40 Recharge Pure Electric,340,500,235,300,67000,235,176,7.4,Lithium-ion,Front,335,170,330,200,1500,2460,2023,5
Tesla,Model Y Performance,405,605,300,385,75000,214,156,3.7,Lithium-ion,AWD,415,393,660,180.7228916,1600,2634,2072,5
MG,ZS EV Long Range,370,550,255,325,68300,220,165,8.4,Lithium-ion,Front,365,115,280,187.1232877,500,2070,1695,5
MG,MG4 Electric 51 kWh,295,445,215,275,50800,199,147,7.7,Lithium-ion,Rear,300,125,250,169.3333333,500,2103,1755,5
Polestar,2 Long Range Dual Motor,385,565,280,360,75000,224,165,4.7,Lithium-ion,AWD,395,300,660,189.8734177,1500,2188,2600,5
NIO,ET7 100kWh,475,705,370,480,90000,212,155,3.8,Lithium-ion,AWD,505,480,850,178.2178218,2000,2900,2454,5
Tesla,Model S Plaid,515,765,395,515,95000,209,152,2.1,Lithium-ion,AWD,540,760,NA,175.9259259,1600,2629,2265,5
